Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
R8 Revolver,Inlay,Consumer Grade,Anubis Collection,$0.11 USD,$0.05 USD,$0.03 USD,$0.03 USD,$0.04 USD,2023
M249,Submerged,Consumer Grade,Anubis Collection,$0.13 USD,$0.05 USD,$0.03 USD,$0.03 USD,$0.03 USD,2023
XM1014,Hieroglyph,Consumer Grade,Anubis Collection,$0.17 USD,$0.05 USD,$0.03 USD,$0.03 USD,$0.03 USD,2023
MP7,Sunbaked,Consumer Grade,Anubis Collection,$0.18 USD,$0.05 USD,$0.04 USD,$0.03 USD,$0.06 USD,2023
AUG,Snake Pit,Consumer Grade,Anubis Collection,$0.11 USD,$0.05 USD,$0.03 USD,$0.03 USD,$0.03 USD,2023
M4A1-S,Mud-Spec,Industrial Grade,Anubis Collection,$12.85 USD,$5.24 USD,$3.61 USD,$6.03 USD,$3.35 USD,2023
SSG 08,Azure Glyph,Industrial Grade,Anubis Collection,$0.84 USD,$0.31 USD,$0.15 USD,$0.14 USD,$0.14 USD,2023
USP-S,Desert Tactical,Industrial Grade,Anubis Collection,$0.84 USD,$0.30 USD,$0.16 USD,$0.14 USD,$0.14 USD,2023
MAC-10,Echoing Sands,Industrial Grade,Anubis Collection,$0.66 USD,$0.34 USD,$0.16 USD,$0.16 USD,$0.14 USD,2023
Tec-9,Mummy's Rot,Mil-Spec,Anubis Collection,$2.80 USD,$1.88 USD,$1.21 USD,$1.01 USD,$0.94 USD,2023
AK-47,Steel Delta,Mil-Spec,Anubis Collection,$3.38 USD,$2.15 USD,$1.44 USD,$1.73 USD,$1.35 USD,2023
AWP,Black Nile,Mil-Spec,Anubis Collection,$5.47 USD,$2.61 USD,$1.35 USD,$2.14 USD,$1.96 USD,2023
MAG-7,Copper Coated,Mil-Spec,Anubis Collection,$2.71 USD,$1.90 USD,$1.16 USD,$0.99 USD,$0.84 USD,2023
Glock-18,Ramese's Reach,Restricted,Anubis Collection,$20.28 USD,$14.01 USD,$8.31 USD,$6.69 USD,$5.77 USD,2023
Nova,Sobek's Bite,Restricted,Anubis Collection,$17.88 USD,$11.58 USD,$7.70 USD,$6.47 USD,$5.91 USD,2023
P90,ScaraB Rush,Restricted,Anubis Collection,$16.74 USD,$11.61 USD,$7.65 USD,$6.88 USD,$5.65 USD,2023
FAMAS,Waters of Nephthys,Classified,Anubis Collection,,,,,,2023
P250,Apep's Curse,Classified,Anubis Collection,$153.43 USD,$102.57 USD,$57.64 USD,$43.94 USD,$39.60 USD,2023
M4A4,Eye of Horus,Covert,Anubis Collection,"$1,372.95 USD",$765.22 USD,$331.38 USD,$319.00 USD,$193.86 USD,2023
Nova,Army Sheen,Consumer Grade,Ancient Collection,$0.59 USD,$0.47 USD,$0.46 USD,,,2020
SG 553,Lush Ruins,Consumer Grade,Ancient Collection,$0.61 USD,$0.49 USD,$0.45 USD,$0.49 USD,$0.41 USD,2020
P90,Ancient Earth,Consumer Grade,Ancient Collection,$0.57 USD,$0.51 USD,$0.46 USD,$0.48 USD,$0.50 USD,2020
SSG 08,Jungle Dashed,Consumer Grade,Ancient Collection,$22.67 USD,$2.82 USD,$1.81 USD,$1.69 USD,$1.38 USD,2020
R8 Revolver,Night,Consumer Grade,Ancient Collection,$5.74 USD,$0.58 USD,$0.44 USD,$0.41 USD,$0.52 USD,2020
MP7,Tall Grass,Industrial Grade,Ancient Collection,$3.72 USD,$3.42 USD,$3.47 USD,$2.92 USD,$3.17 USD,2020
P2000,Panther Camo,Industrial Grade,Ancient Collection,,,,,,2020
G3SG1,Ancient Ritual,Industrial Grade,Ancient Collection,,,,,,2020
CZ75-Auto,Silver,Industrial Grade,Ancient Collection,$3.61 USD,$4.68 USD,,,,2020
FAMAS,Dark Water,Mil-Spec,Ancient Collection,,$14.85 USD,$13.07 USD,,,2020
Galil AR,Dusk Ruins,Mil-Spec,Ancient Collection,$15.46 USD,$13.78 USD,$12.91 USD,$15.49 USD,$12.71 USD,2020
AUG,Carved Jade,Mil-Spec,Ancient Collection,$24.20 USD,$16.94 USD,$15.38 USD,,,2020
Tec-9,Blast From the Past,Mil-Spec,Ancient Collection,$15.19 USD,$14.64 USD,$13.14 USD,$13.44 USD,$14.69 USD,2020
XM1014,Ancient Lore,Restricted,Ancient Collection,,,,,,2020
MAC-10,Gold Brick,Restricted,Ancient Collection,$79.10 USD,$56.49 USD,$48.64 USD,$54.20 USD,$56.48 USD,2020
USP-S,Ancient Visions,Restricted,Ancient Collection,$56.59 USD,$51.34 USD,$50.61 USD,$65.32 USD,,2020
P90,Run and Hide,Classified,Ancient Collection,$513.44 USD,$364.98 USD,$188.62 USD,$209.60 USD,$157.19 USD,2020
AK-47,Panthera onca,Classified,Ancient Collection,$464.34 USD,$322.35 USD,$252.89 USD,$178.83 USD,$162.42 USD,2020
M4A1-S,Welcome to the Jungle,Covert,Ancient Collection,,,"$1,665.02 USD","$1,414.60 USD",$836.84 USD,2020
SG 553,Tornado,Consumer Grade,Assault Collection,$57.54 USD,$15.34 USD,$9.25 USD,$10.45 USD,$9.62 USD,2013
UMP-45,Caramel,Consumer Grade,Assault Collection,$60.25 USD,$15.46 USD,$9.52 USD,$10.35 USD,$10.63 USD,2013
