Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
R8 Revolver,Inlay,Consumer Grade,Anubis Collection,$0.10 USD,$0.05 USD,$0.03 USD,$0.04 USD,$0.03 USD,2023.0
M249,Submerged,Consumer Grade,Anubis Collection,,,,,,2023.0
XM1014,Hieroglyph,Consumer Grade,Anubis Collection,$0.16 USD,$0.05 USD,$0.03 USD,$0.03 USD,$0.03 USD,2023.0
MP7,Sunbaked,Consumer Grade,Anubis Collection,,,,,,2023.0
AUG,Snake Pit,Consumer Grade,Anubis Collection,,,,,,2023.0
M4A1-S,Mud-Spec,Industrial Grade,Anubis Collection,,,,,,2023.0
SSG 08,Azure Glyph,Industrial Grade,Anubis Collection,,,,,,2023.0
USP-S,Desert Tactical,Industrial Grade,Anubis Collection,,,,,,2023.0
MAC-10,Echoing Sands,Industrial Grade,Anubis Collection,,,,,,2023.0
Tec-9,Mummy's Rot,Mil-Spec,Anubis Collection,,,,,,2023.0
AK-47,Steel Delta,Mil-Spec,Anubis Collection,,,,,,2023.0
AWP,Black Nile,Mil-Spec,Anubis Collection,,,,,,2023.0
MAG-7,Copper Coated,Mil-Spec,Anubis Collection,,,,,,2023.0
Glock-18,Ramese's Reach,Restricted,Anubis Collection,,,,,,2023.0
Nova,Sobek's Bite,Restricted,Anubis Collection,,,,,,2023.0
P90,ScaraB Rush,Restricted,Anubis Collection,,,,,,2023.0
FAMAS,Waters of Nephthys,Classified,Anubis Collection,,,,,,2023.0
P250,Apep's Curse,Classified,Anubis Collection,,,,,,2023.0
M4A4,Eye of Horus,Covert,Anubis Collection,,,,,,2023.0
Nova,Army Sheen,Consumer Grade,Ancient Collection,,,,,,2020.0
SG 553,Lush Ruins,Consumer Grade,Ancient Collection,,,,,,2020.0
P90,Ancient Earth,Consumer Grade,Ancient Collection,,,,,,2020.0
SSG 08,Jungle Dashed,Consumer Grade,Ancient Collection,,,,,,2020.0
R8 Revolver,Night,Consumer Grade,Ancient Collection,,,,,,2020.0
MP7,Tall Grass,Industrial Grade,Ancient Collection,,,,,,2020.0
P2000,Panther Camo,Industrial Grade,Ancient Collection,,,,,,2020.0
G3SG1,Ancient Ritual,Industrial Grade,Ancient Collection,,,,,,2020.0
CZ75-Auto,Silver,Industrial Grade,Ancient Collection,,,,,,2020.0
FAMAS,Dark Water,Mil-Spec,Ancient Collection,,,,,,2020.0
Galil AR,Dusk Ruins,Mil-Spec,Ancient Collection,,,,,,2020.0
AUG,Carved Jade,Mil-Spec,Ancient Collection,,,,,,2020.0
Tec-9,Blast From the Past,Mil-Spec,Ancient Collection,,,,,,2020.0
XM1014,Ancient Lore,Restricted,Ancient Collection,,,,,,2020.0
MAC-10,Gold Brick,Restricted,Ancient Collection,,,,,,2020.0
USP-S,Ancient Visions,Restricted,Ancient Collection,,,,,,2020.0
P90,Run and Hide,Classified,Ancient Collection,,,,,,2020.0
AK-47,Panthera onca,Classified,Ancient Collection,,,,,,2020.0
M4A1-S,Welcome to the Jungle,Covert,Ancient Collection,,,,,,2020.0
SG 553,Tornado,Consumer Grade,Assault Collection,,,,,,2013.0
UMP-45,Caramel,Consumer Grade,Assault Collection,,,,,,2013.0
Five-SeveN,Candy Apple*,Industrial Grade,Assault Collection,,,,,,2013.0
AUG,Hot Rod,Mil-Spec,Assault Collection,,,,,,2013.0
Negev,Anodized Navy,Mil-Spec,Assault Collection,,,,,,2013.0
MP9,Bulldozer,Restricted,Assault Collection,,,,,,2013.0
Glock-18,Fade,Restricted,Assault Collection,,,,,,2013.0
Nova,Forest Leaves,Consumer Grade,Aztec Collection,,,,,,2013.0
Five-SeveN,Jungle,Consumer Grade,Aztec Collection,,,,,,2013.0
SSG 08,Lichen Dashed,Consumer Grade,Aztec Collection,,,,,,2013.0
AK-47,Jungle Spray,Industrial Grade,Aztec Collection,,,,,,2013.0
M4A4,Jungle Tiger,Industrial Grade,Aztec Collection,,,,,,2013.0
Tec-9,Ossified,Mil-Spec,Aztec Collection,,,,,,2013.0
G3SG1,Contractor,Consumer Grade,Baggage Collection,,,,,,2014.0
MP7,Olive Plaid,Consumer Grade,Baggage Collection,,,,,,2014.0
CZ75-Auto,Green Plaid,Consumer Grade,Baggage Collection,,,,,,2014.0
MP9,Green Plaid,Consumer Grade,Baggage Collection,,,,,,2014.0
SSG 08,Sand Dune,Consumer Grade,Baggage Collection,,,,,,2014.0
SG 553,Traveler,Industrial Grade,Baggage Collection,,,,,,2014.0
P90,Leather,Industrial Grade,Baggage Collection,,,,,,2014.0
MAC-10,Commuter,Industrial Grade,Baggage Collection,,,,,,2014.0
P2000,Coach Class,Industrial Grade,Baggage Collection,,,,,,2014.0
Sawed-Off,First Class,Mil-Spec,Baggage Collection,,,,,,2014.0
USP-S,Business Class,Mil-Spec,Baggage Collection,,,,,,2014.0
XM1014,Red Leather,Mil-Spec,Baggage Collection,,,,,,2014.0
AK-47,First Class,Restricted,Baggage Collection,,,,,,2014.0
Desert Eagle,Pilot,Restricted,Baggage Collection,,,,,,2014.0
AK-47,Jet Set,Classified,Baggage Collection,,,,,,2014.0
Tec-9,Urban DDPAT,Consumer Grade,Bank Collection,,,,,,2014.0
SG 553,Army Sheen,Consumer Grade,Bank Collection,,,,,,2014.0
Sawed-Off,Forest DDPAT,Consumer Grade,Bank Collection,,,,,,2014.0
Negev,Army Sheen,Consumer Grade,Bank Collection,,,,,,2014.0
MP7,Forest DDPAT,Consumer Grade,Bank Collection,,,,,,2014.0
R8 Revolver,Bone Mask*,Consumer Grade,Bank Collection,,,,,,2014.0
UMP-45,Carbon Fiber,Industrial Grade,Bank Collection,,,,,,2014.0
Nova,Caged Steel,Industrial Grade,Bank Collection,,,,,,2014.0
MAC-10,Silver,Industrial Grade,Bank Collection,,,,,,2014.0
Glock-18,Death Rattle,Industrial Grade,Bank Collection,,,,,,2014.0
G3SG1,Green Apple,Industrial Grade,Bank Collection,,,,,,2014.0
Galil AR,Tuxedo,Mil-Spec,Bank Collection,,,,,,2014.0
Desert Eagle,Meteorite,Mil-Spec,Bank Collection,,,,,,2014.0
CZ75-Auto,Tuxedo,Mil-Spec,Bank Collection,,,,,,2014.0
AK-47,Emerald Pinstripe,Restricted,Bank Collection,,,,,,2014.0
P250,Franklin,Classified,Bank Collection,,,,,,2014.0
MP5-SD,Lab Rats,Restricted,Blacksite Collection,,,,,,2018.0
Negev,Nuclear Waste,Industrial Grade,Cache Collection,,,,,,2014.0
P250,Contamination,Industrial Grade,Cache Collection,,,,,,2014.0
AUG,Radiation Hazard,Industrial Grade,Cache Collection,,,,,,2014.0
PP-Bizon,Chemical Green,Industrial Grade,Cache Collection,,,,,,2014.0
SG 553,Fallout Warning,Industrial Grade,Cache Collection,,,,,,2014.0
Five-SeveN,Hot Shot,Industrial Grade,Cache Collection,,,,,,2014.0
Glock-18,Reactor,Mil-Spec,Cache Collection,,,,,,2014.0
MP9,Setting Sun,Mil-Spec,Cache Collection,,,,,,2014.0
XM1014,Bone Machine,Mil-Spec,Cache Collection,,,,,,2014.0
MAC-10,Nuclear Garden,Mil-Spec,Cache Collection,,,,,,2014.0
Tec-9,Toxic,Mil-Spec,Cache Collection,,,,,,2014.0
FAMAS,Styx,Restricted,Cache Collection,,,,,,2014.0
Galil AR,Cerberus,Restricted,Cache Collection,,,,,,2014.0
CZ75-Auto,Indigo,Consumer Grade,Canals Collection,,,,,,2019.0
AUG,Navy Murano,Consumer Grade,Canals Collection,,,,,,2019.0
R8 Revolver,Canal Spray,Consumer Grade,Canals Collection,,,,,,2019.0
Negev,Boroque Sand,Consumer Grade,Canals Collection,,,,,,2019.0
SCAR-20,Stone Mosaico,Consumer Grade,Canals Collection,,,,,,2019.0
AK-47,Baroque Purple,Industrial Grade,Canals Collection,,,,,,2019.0
SG 553,Candy Apple,Industrial Grade,Canals Collection,,,,,,2019.0
Tec-9,Orange Murano,Industrial Grade,Canals Collection,,,,,,2019.0
P250,Dark Filigree,Industrial Grade,Canals Collection,,,,,,2019.0
Dual Berettas,Emerald,Mil-Spec,Canals Collection,,,,,,2019.0
P90,Baroque Red,Mil-Spec,Canals Collection,,,,,,2019.0
SSG 08,Orange Filigree,Mil-Spec,Canals Collection,,,,,,2019.0
G3SG1,Violet Murano,Mil-Spec,Canals Collection,,,,,,2019.0
MAC-10,Red Filigree,Restricted,Canals Collection,,,,,,2019.0
Nova,Baroque Orange,Restricted,Canals Collection,,,,,,2019.0
MP9,Stained Glass,Restricted,Canals Collection,,,,,,2019.0
MAG-7,Cinquedea,Restricted,Canals Collection,,,,,,2019.0
AWP,The Prince,Covert,Canals Collection,,,,,,2019.0
P90,Storm,Consumer Grade,Cobblestone Collection,,,,,,2014.0
UMP-45,Indigo,Consumer Grade,Cobblestone Collection,,,,,,2014.0
MAC-10,Indigo,Consumer Grade,Cobblestone Collection,,,,,,2014.0
SCAR-20,Storm,Consumer Grade,Cobblestone Collection,,,,,,2014.0
Dual Berettas,Briar,Consumer Grade,Cobblestone Collection,,,,,,2014.0
USP-S,Royal Blue,Industrial Grade,Cobblestone Collection,,,,,,2014.0
Nova,Green Apple,Industrial Grade,Cobblestone Collection,,,,,,2014.0
MAG-7,Silver,Industrial Grade,Cobblestone Collection,,,,,,2014.0
Sawed-Off,Rust Coat,Industrial Grade,Cobblestone Collection,,,,,,2014.0
P2000,Chainmail,Mil-Spec,Cobblestone Collection,,,,,,2014.0
MP9,Dark Age,Mil-Spec,Cobblestone Collection,,,,,,2014.0
Desert Eagle,Hand Cannon,Restricted,Cobblestone Collection,,,,,,2014.0
CZ75-Auto,Chalice,Restricted,Cobblestone Collection,,,,,,2014.0
M4A1-S,Knight,Classified,Cobblestone Collection,,,,,,2014.0
AWP,Dragon Lore,Covert,Cobblestone Collection,,,,,,2014.0
M4A4,Desert Storm,Industrial Grade,Dust Collection,,,,,,2013.0
SCAR-20,Palm,Industrial Grade,Dust Collection,,,,,,2013.0
AK-47,Predator,Industrial Grade,Dust Collection,,,,,,2013.0
AWP,Snake Camo,Mil-Spec,Dust Collection,,,,,,2013.0
AUG,Copperhead,Mil-Spec,Dust Collection,,,,,,2013.0
Sawed-Off,Copper,Mil-Spec,Dust Collection,,,,,,2013.0
Desert Eagle,Blaze,Restricted,Dust Collection,,,,,,2013.0
P2000,Scorpion,Restricted,Dust Collection,,,,,,2013.0
Glock-18,Brass,Restricted,Dust Collection,,,,,,2013.0
Nova,Predator,Consumer Grade,Dust II Collection,,,,,,2021.0
MP9,Sand Dashed,Consumer Grade,Dust II Collection,,,,,,2021.0
P90,Sand Spray,Consumer Grade,Dust II Collection,,,,,,2021.0
SCAR-20,Sand Mesh,Consumer Grade,Dust II Collection,,,,,,2021.0
P250,Sand Dune,Consumer Grade,Dust II Collection,,,,,,2021.0
G3SG1,Desert Storm,Consumer Grade,Dust II Collection,,,,,,2021.0
Tec-9,VariCamo,Industrial Grade,Dust II Collection,,,,,,2021.0
MAC-10,Palm,Industrial Grade,Dust II Collection,,,,,,2021.0
Five-SeveN,Orange Peel,Industrial Grade,Dust II Collection,,,,,,2021.0
AK-47,Safari Mesh,Industrial Grade,Dust II Collection,,,,,,2021.0
Sawed-Off,Snake Camo,Industrial Grade,Dust II Collection,,,,,,2021.0
M4A1-S,VariCamo,Mil-Spec,Dust II Collection,,,,,,2021.0
PP-Bizon,Brass,Mil-Spec,Dust II Collection,,,,,,2021.0
